Gaby Subplot 211,Gaby Subplot 212
0.138113749,0.932081097
0.122680828,0.624748314
0.116374396,0.771579671
0.15479426,0.58561154
0.177548488,0.826538084
0.067699945,0.391255413
0.028205462,0.69068695
-0.033573475,0.784443511
0.135752225,0.560363411
0.021392341,0.409785326
0.134040739,0.725475899
0.210580423,0.714431352
0.182415754,0.644207507
0.253616837,0.802500619
0.1610445,0.620177811
0.057263185,0.697366929
0.059505116,0.565044959
0.231541308,0.586299192
0.088953439,0.500775295
0.158649994,0.602709571
0.032802626,0.362588067
-0.01802007,0.319741791
-0.017586606,0.466117495
0.032686022,0.74305158
0.027934446,0.856272104
-0.01232605,0.764795196
-0.024440313,0.550467974
0.017926717,0.78923494
0.029398535,0.754670111
-0.006216037,0.840970081
0.052162069,0.713107487
-0.021186603,0.749572068
-0.022129678,0.648802619
-0.015480043,0.875687702
0.002698156,0.766917727
0.200710082,0.777614693
-0.021918744,0.525754173
0.159798297,0.400384238
-0.011416677,0.451033852
-0.033329706,0.599401626
-0.015426135,0.486444168
0.066995269,0.812767692
0.037779052,0.615069802
0.089392689,0.662650538
0.00660161,0.729442587
0.022908161,0.738832302
0.004535634,0.745931257
0.03255794,0.704910906
0.102619914,0.491496576
0.05759751,0.589537275
0.041488861,0.675092816
0.171430773,0.801529166
0.312177961,0.786534744
0.527578861,0.793645638
0.027215478,0.813940226
0.105402349,0.884818883
0.040840707,0.721696937
0.08173501,0.591721582
0.188959532,0.574187191
0.026895548,0.810331954
0.212428727,0.685793895
0.135866,0.680804637
0.160654819,0.825040793
0.125001694,0.984025873
0.081960437,0.829820123
0.246314861,0.827394304
0.298237394,0.709682373
0.161901241,0.963477869
0.103713279,0.956335183
0.1433045,0.912825463
0.112124236,0.73167398
-0.042872597,0.733392074
0.158701945,0.710138516
-0.036277344,0.996268318
0.076970855,0.94885797
-0.017210825,0.952236306
0.021915072,0.191666461
0.009862552,0.428604791
0.061026769,0.077514797
0.038668921,0.388568595
-0.012139534,0.679948361
0.112694347,0.154145877
0.036573489,0.683841691
0.140472896,0.255372641
0.146047644,0.553460706
0.018996343,0.430169882
0.092301807,0.79514402
-0.005191646,0.782775603
0.009911297,0.858512351
0.115255527,0.76141916
0.049644951,0.911814911
0.170454928,0.86027131
0.098706271,0.863669429
0.028699046,0.899150931
0.044310669,0.950567906
0.109054302,0.893718571
0.132254399,0.565152348
0.223441489,0.572878672
0.097241191,0.708465378
0.240762097,0.615216091
0.183410948,0.256469732
0.229277777,0.352664967
0.308147507,0.31156878
0.245584548,0.619554833
0.213670337,0.563813764
0.002072509,0.886754677
0.052760611,0.313684406
0.100760306,0.570006752
0.031732464,0.718717978
0.018537381,0.490820533
0.007912134,0.275569382
0.026563598,0.224094595
0.06613055,0.191779391
0.064581706,0.346856149
0.19701311,0.6602334
0.195945348,0.388417367
-0.007565632,0.585378901
0.09684854,0.624259994
-0.030176225,0.732974172
0.182312268,0.965731795
-0.053776828,0.325440534
0.039078431,0.426274224
0.066578818,0.560093004
0.063960934,0.917325409
0.000773129,0.732556917
0.294150816,0.795414594
0.120805136,0.447833995
0.343817071,0.765589149
0.310610697,0.089923078
0.38789693,0.237475195
0.046952874,0.705726025
